
# Surface 0 of 1 surfaces

# Curve title: "ray*cos(u)*cos(v),ray*cos(u)*sin(v),ray*sin(u)"

# IsoCurve 0, 27 points
# x y z type
 0.95  0  0 i
 0.922395  0  0.22735 i
 0.841183  0  0.441487 i
 0.711085  0  0.629967 i
 0.539662  0  0.781835 i
 0.336875  0  0.888265 i
 0.11451  0  0.943073 i
-0.11451  0  0.943073 i
-0.336875  0  0.888265 i
-0.539662  0  0.781835 i
-0.711085  0  0.629967 i
-0.841183  0  0.441487 i
-0.922395  0  0.22735 i
-0.95  0  1.16341e-16 i
-0.922395 -0 -0.22735 i
-0.841183 -0 -0.441487 i
-0.711085 -0 -0.629967 i
-0.539662 -0 -0.781835 i
-0.336875 -0 -0.888265 i
-0.11451 -0 -0.943073 i
 0.11451  0 -0.943073 i
 0.336875  0 -0.888265 i
 0.539662  0 -0.781835 i
 0.711085  0 -0.629967 i
 0.841183  0 -0.441487 i
 0.922395  0 -0.22735 i
 0.95  0 -2.32683e-16 i

# IsoCurve 1, 27 points
# x y z type
 0.922395  0.22735  0 i
 0.895592  0.220744  0.22735 i
 0.81674  0.201308  0.441487 i
 0.690422  0.170174  0.629967 i
 0.52398  0.129149  0.781835 i
 0.327086  0.0806194  0.888265 i
 0.111182  0.027404  0.943073 i
-0.111182 -0.027404  0.943073 i
-0.327086 -0.0806194  0.888265 i
-0.52398 -0.129149  0.781835 i
-0.690422 -0.170174  0.629967 i
-0.81674 -0.201308  0.441487 i
-0.895592 -0.220744  0.22735 i
-0.922395 -0.22735  1.16341e-16 i
-0.895592 -0.220744 -0.22735 i
-0.81674 -0.201308 -0.441487 i
-0.690422 -0.170174 -0.629967 i
-0.52398 -0.129149 -0.781835 i
-0.327086 -0.0806194 -0.888265 i
-0.111182 -0.027404 -0.943073 i
 0.111182  0.027404 -0.943073 i
 0.327086  0.0806194 -0.888265 i
 0.52398  0.129149 -0.781835 i
 0.690422  0.170174 -0.629967 i
 0.81674  0.201308 -0.441487 i
 0.895592  0.220744 -0.22735 i
 0.922395  0.22735 -2.32683e-16 i

# IsoCurve 2, 27 points
# x y z type
 0.841183  0.441487  0 i
 0.81674  0.428658  0.22735 i
 0.744831  0.390917  0.441487 i
 0.629635  0.330458  0.629967 i
 0.477847  0.250793  0.781835 i
 0.298288  0.156553  0.888265 i
 0.101393  0.0532154  0.943073 i
-0.101393 -0.0532154  0.943073 i
-0.298288 -0.156553  0.888265 i
-0.477847 -0.250793  0.781835 i
-0.629635 -0.330458  0.629967 i
-0.744831 -0.390917  0.441487 i
-0.81674 -0.428658  0.22735 i
-0.841183 -0.441487  1.16341e-16 i
-0.81674 -0.428658 -0.22735 i
-0.744831 -0.390917 -0.441487 i
-0.629635 -0.330458 -0.629967 i
-0.477847 -0.250793 -0.781835 i
-0.298288 -0.156553 -0.888265 i
-0.101393 -0.0532154 -0.943073 i
 0.101393  0.0532154 -0.943073 i
 0.298288  0.156553 -0.888265 i
 0.477847  0.250793 -0.781835 i
 0.629635  0.330458 -0.629967 i
 0.744831  0.390917 -0.441487 i
 0.81674  0.428658 -0.22735 i
 0.841183  0.441487 -2.32683e-16 i

# IsoCurve 3, 27 points
# x y z type
 0.711085  0.629967  0 i
 0.690422  0.611661  0.22735 i
 0.629635  0.557808  0.441487 i
 0.532255  0.471537  0.629967 i
 0.403942  0.357862  0.781835 i
 0.252154  0.223389  0.888265 i
 0.0857119  0.0759341  0.943073 i
-0.0857119 -0.0759341  0.943073 i
-0.252154 -0.223389  0.888265 i
-0.403942 -0.357862  0.781835 i
-0.532255 -0.471537  0.629967 i
-0.629635 -0.557808  0.441487 i
-0.690422 -0.611661  0.22735 i
-0.711085 -0.629967  1.16341e-16 i
-0.690422 -0.611661 -0.22735 i
-0.629635 -0.557808 -0.441487 i
-0.532255 -0.471537 -0.629967 i
-0.403942 -0.357862 -0.781835 i
-0.252154 -0.223389 -0.888265 i
-0.0857119 -0.0759341 -0.943073 i
 0.0857119  0.0759341 -0.943073 i
 0.252154  0.223389 -0.888265 i
 0.403942  0.357862 -0.781835 i
 0.532255  0.471537 -0.629967 i
 0.629635  0.557808 -0.441487 i
 0.690422  0.611661 -0.22735 i
 0.711085  0.629967 -2.32683e-16 i

# IsoCurve 4, 27 points
# x y z type
 0.539662  0.781835  0 i
 0.52398  0.759116  0.22735 i
 0.477847  0.69228  0.441487 i
 0.403942  0.585212  0.629967 i
 0.306563  0.444133  0.781835 i
 0.191367  0.277242  0.888265 i
 0.065049  0.0942398  0.943073 i
-0.065049 -0.0942398  0.943073 i
-0.191367 -0.277242  0.888265 i
-0.306563 -0.444133  0.781835 i
-0.403942 -0.585212  0.629967 i
-0.477847 -0.69228  0.441487 i
-0.52398 -0.759116  0.22735 i
-0.539662 -0.781835  1.16341e-16 i
-0.52398 -0.759116 -0.22735 i
-0.477847 -0.69228 -0.441487 i
-0.403942 -0.585212 -0.629967 i
-0.306563 -0.444133 -0.781835 i
